Debiteurnummer,Account,Adres + nr,nummer,toevoeging,Postcode,Plaats,Stadsdeel,,,,,,,,,,Sector
000282,De Gouden Reael,Zandhoek 14,14,,1013KT,Amsterdam,020-West,,,,,,,,,,4
000284,De Monnik Dranken,Deventerstraat 6,6,,7575EM,Oldenzaal,Oldenzaal,,,,,,,,,,
000286,Café d'Oude Florijn,Lange Veerstraat 28,28,,2011DB,Haarlem,Haarlem,,,,,,,,,,
000288,Club Cell,Schrijverstraat 2,2,,1315HX,Almere,Almere,,,,,,,,,,
000290,Cannibale Royale,Handboogstraat 17A,17,A,1012XM,Amsterdam,020-Centrum,,,,,,,,,,5
000291,Wijnhandel Schottenburgh,Krom Boomssloot 18HS,18,HS,1011GW,Amsterdam,020-Centrum,,,,,,,,,,5
000292,Vindict Amsterdam,Elandsgracht 113 H,113,H,1016TT,Amsterdam,020-Centrum-West,,,,,,,,,,4
000293,Arendsnest,Herengracht 90,90,,1015BS,Amsterdam,020-Centrum-West,,,,,,,,,,4
000296,Max Brown Hotel Canal District,Herengracht 13,13,,1015BA,Amsterdam,020-Centrum-West,,,,,,,,,,4
000297,Haarlemse Jongens Horeca B.V.,Korte Veerstraat 1,1,,2011CL,Haarlem,Haarlem,,,,,,,,,,
000298,Wieling & Timmer,Gerdesstraat 69-71,69,,6701AH,Wageningen,Wageningen,,,,,,,,,,
000299,Gouden Ton Laren,Jordaan 13,13,,1251PB,Laren,Laren,,,,,,,,,,
000300,Slijterij Overmars WEESP,Binnenveer 5,5,,1381BT,Weesp,Weesp,,,,,,,,,,
000301,Flipbase,Plantage Kerklaan 35-2,35,2,1018CV,Amsterdam,020-Centrum-Oost,,,,,,,,,,2
000302,Le Garage,Ruysdaelstraat 54-56,54,,1071XE,Amsterdam,020-Zuid,,,,,,,,,,3
